Name,Ticker,Sub-Sector
5Paisa Capital Ltd,5PAISA,Diversified Financials
A F Enterprises Ltd,AFEL,Investment Banking & Brokerage
A K Capital Services Ltd,AKCAPIT,Investment Banking & Brokerage
AAR Shyam India Investment Company Ltd,AARSHYAM,Investment Banking & Brokerage
AD- Manum Finance Ltd,ADMANUM,Specialized Finance
APM Finvest Ltd,MUFIN,Diversified Financials
AU Small Finance Bank Ltd,AUBANK,Consumer Finance
Aarnav Fashions Ltd,AARNAV,Investment Banking & Brokerage
Aastamangalam Finance Ltd,AASTAFIN,Consumer Finance
Aavas Financiers Ltd,AAVAS,Home Financing
Abate As Industries Ltd,TRIJAL,Investment Banking & Brokerage
Abhijit Trading Co Ltd,ABHIJIT,Investment Banking & Brokerage
Abhinav Capital Services Ltd,ABHICAP,Diversified Financials
Abhishek Finlease Ltd,ABHIFIN,Consumer Finance
Ace men engg works Ltd,ACEMEN,Diversified Financials
Acme Resources Ltd,ACME,Diversified Financials
Adharshila Capital Services Ltd,ADHARSHILA,Diversified Financials
Adinath Exim Resources Ltd,ADIEXRE,Consumer Finance
Aditya Birla Capital Ltd,ABCAPITAL,Diversified Financials
Aditya Birla Money Limited,BIRLAMONEY,Investment Banking & Brokerage
Aditya Birla Sun Life Amc Ltd,ABSLAMC,Asset Management
Ajcon Global Services Ltd,AJCON,Diversified Financials
Akashdeep Metal Industries Ltd,AKASHDEEP,Diversified Financials
Alacrity Securities Ltd,ALSL,Investment Banking & Brokerage
Alankit Ltd,ALANKIT,Investment Banking & Brokerage
Alexander Stamps and Coin Ltd,ALEXANDER,Diversified Financials
Almondz Global Securities Ltd,ALMONDZ,Investment Banking & Brokerage
Amarnath Securities Ltd,AMARSEC,Investment Banking & Brokerage
Amforge Industries Ltd,AMFORG,Consumer Finance
Amrapali Capital and Finance Services Ltd,ACFSL,Investment Banking & Brokerage
Amrapali Fincap Ltd,AMRAFIN,Diversified Financials
Anand Rathi Wealth Ltd,ANANDRATHI,Asset Management
Aneri Fincap Ltd,ANERI,Specialized Finance
Angel One Limited,ANGELONE,Investment Banking & Brokerage
Anjani Finance Ltd,ANJANIFIN,Diversified Financials
Apex Capital and Finance Ltd,ACFL,Consumer Finance
Apollo Finvest (India) Ltd,APOLLOFI,Diversified Financials
Apoorva Leasing Finance and Investment Company Ltd,APOORVA,Diversified Financials
Aptus Value Housing Finance India Ltd,APTUS,Home Financing
Aravali Securities and Finance Ltd,ARAVALIS,Investment Banking & Brokerage
Arihant Capital Markets Ltd,ARIHANTCAP,Diversified Financials
Arihant's Securities Ltd,ARISE,Diversified Financials
Arman Financial Services Ltd,ARMANFIN,Consumer Finance
Arman Holdings Ltd,ARMAN,Diversified Financials
Arnold Holdings Ltd,ARNOLD,Diversified Financials
Arunis Abode Ltd,ARUNIS,Diversified Financials
Aryaman Capital Markets Ltd,ARYACAPM,Diversified Financials
Aryaman Financial Services Ltd,ARYAMAN,Investment Banking & Brokerage
